CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100),Cluster,Customer Segment,Recommendation
26,Male,29,28,82,2,Young High-Spenders,"Target with trendy products, discounts and social-media campaigns."
27,Female,45,28,32,4,Low-Value Customers,Offer affordable products and basic promotional campaigns.
28,Male,35,28,61,2,Young High-Spenders,"Target with trendy products, discounts and social-media campaigns."
29,Female,40,29,31,4,Low-Value Customers,Offer affordable products and basic promotional campaigns.
30,Female,23,29,87,2,Young High-Spenders,"Target with trendy products, discounts and social-media campaigns."
31,Male,60,30,4,4,Low-Value Customers,Offer affordable products and basic promotional campaigns.
32,Female,21,30,73,2,Young High-Spenders,"Target with trendy products, discounts and social-media campaigns."
33,Male,53,33,4,4,Low-Value Customers,Offer affordable products and basic promotional campaigns.
34,Male,18,33,92,2,Young High-Spenders,"Target with trendy products, discounts and social-media campaigns."
35,Female,49,33,14,4,Low-Value Customers,Offer affordable products and basic promotional campaigns.
36,Female,21,33,81,2,Young High-Spenders,"Target with trendy products, discounts and social-media campaigns."
37,Female,42,34,17,4,Low-Value Customers,Offer affordable products and basic promotional campaigns.
38,Female,30,34,73,2,Young High-Spenders,"Target with trendy products, discounts and social-media campaigns."
39,Female,36,37,26,4,Low-Value Customers,Offer affordable products and basic promotional campaigns.
40,Female,20,37,75,2,Young High-Spenders,"Target with trendy products, discounts and social-media campaigns."
41,Female,65,38,35,4,Low-Value Customers,Offer affordable products and basic promotional campaigns.
42,Male,24,38,92,2,Young High-Spenders,"Target with trendy products, discounts and social-media campaigns."
43,Male,48,39,36,4,Low-Value Customers,Offer affordable products and basic promotional campaigns.
44,Female,31,39,61,0,Average Customers,Use general promotions and product recommendations.
45,Female,49,39,28,4,Low-Value Customers,Offer affordable products and basic promotional campaigns.
46,Female,24,39,65,2,Young High-Spenders,"Target with trendy products, discounts and social-media campaigns."
47,Female,50,40,55,0,Average Customers,Use general promotions and product recommendations.
48,Female,27,40,47,0,Average Customers,Use general promotions and product recommendations.
49,Female,29,40,42,0,Average Customers,Use general promotions and product recommendations.
50,Female,31,40,42,0,Average Customers,Use general promotions and product recommendations.
51,Female,49,42,52,0,Average Customers,Use general promotions and product recommendations.
52,Male,33,42,60,0,Average Customers,Use general promotions and product recommendations.
53,Female,31,43,54,0,Average Customers,Use general promotions and product recommendations.
54,Male,59,43,60,0,Average Customers,Use general promotions and product recommendations.
55,Female,50,43,45,0,Average Customers,Use general promotions and product recommendations.
56,Male,47,43,41,0,Average Customers,Use general promotions and product recommendations.
57,Female,51,44,50,0,Average Customers,Use general promotions and product recommendations.
58,Male,69,44,46,0,Average Customers,Use general promotions and product recommendations.
59,Female,27,46,51,0,Average Customers,Use general promotions and product recommendations.
60,Male,53,46,46,0,Average Customers,Use general promotions and product recommendations.
61,Male,70,46,56,0,Average Customers,Use general promotions and product recommendations.
62,Male,19,46,55,0,Average Customers,Use general promotions and product recommendations.
63,Female,67,47,52,0,Average Customers,Use general promotions and product recommendations.
64,Female,54,47,59,0,Average Customers,Use general promotions and product recommendations.
65,Male,63,48,51,0,Average Customers,Use general promotions and product recommendations.
66,Male,18,48,59,0,Average Customers,Use general promotions and product recommendations.
67,Female,43,48,50,0,Average Customers,Use general promotions and product recommendations.
68,Female,68,48,48,0,Average Customers,Use general promotions and product recommendations.
69,Male,19,48,59,0,Average Customers,Use general promotions and product recommendations.
70,Female,32,48,47,0,Average Customers,Use general promotions and product recommendations.
71,Male,70,49,55,0,Average Customers,Use general promotions and product recommendations.
72,Female,47,49,42,0,Average Customers,Use general promotions and product recommendations.
73,Female,60,50,49,0,Average Customers,Use general promotions and product recommendations.
74,Female,60,50,56,0,Average Customers,Use general promotions and product recommendations.
75,Male,59,54,47,0,Average Customers,Use general promotions and product recommendations.
76,Male,26,54,54,0,Average Customers,Use general promotions and product recommendations.
77,Female,45,54,53,0,Average Customers,Use general promotions and product recommendations.
78,Male,40,54,48,0,Average Customers,Use general promotions and product recommendations.
79,Female,23,54,52,0,Average Customers,Use general promotions and product recommendations.
80,Female,49,54,42,0,Average Customers,Use general promotions and product recommendations.
81,Male,57,54,51,0,Average Customers,Use general promotions and product recommendations.
82,Male,38,54,55,0,Average Customers,Use general promotions and product recommendations.
83,Male,67,54,41,0,Average Customers,Use general promotions and product recommendations.
84,Female,46,54,44,0,Average Customers,Use general promotions and product recommendations.
85,Female,21,54,57,0,Average Customers,Use general promotions and product recommendations.
86,Male,48,54,46,0,Average Customers,Use general promotions and product recommendations.
87,Female,55,57,58,0,Average Customers,Use general promotions and product recommendations.
88,Female,22,57,55,0,Average Customers,Use general promotions and product recommendations.
89,Female,34,58,60,0,Average Customers,Use general promotions and product recommendations.
90,Female,50,58,46,0,Average Customers,Use general promotions and product recommendations.
91,Female,68,59,55,0,Average Customers,Use general promotions and product recommendations.
92,Male,18,59,41,0,Average Customers,Use general promotions and product recommendations.
93,Male,48,60,49,0,Average Customers,Use general promotions and product recommendations.
94,Female,40,60,40,0,Average Customers,Use general promotions and product recommendations.
95,Female,32,60,42,0,Average Customers,Use general promotions and product recommendations.
96,Male,24,60,52,0,Average Customers,Use general promotions and product recommendations.
97,Female,47,60,47,0,Average Customers,Use general promotions and product recommendations.
98,Female,27,60,50,0,Average Customers,Use general promotions and product recommendations.
99,Male,48,61,42,0,Average Customers,Use general promotions and product recommendations.
100,Male,20,61,49,0,Average Customers,Use general promotions and product recommendations.
101,Female,23,62,41,0,Average Customers,Use general promotions and product recommendations.
102,Female,49,62,48,0,Average Customers,Use general promotions and product recommendations.
103,Male,67,62,59,0,Average Customers,Use general promotions and product recommendations.
104,Male,26,62,55,0,Average Customers,Use general promotions and product recommendations.
105,Male,49,62,56,0,Average Customers,Use general promotions and product recommendations.
106,Female,21,62,42,0,Average Customers,Use general promotions and product recommendations.
107,Female,66,63,50,0,Average Customers,Use general promotions and product recommendations.
108,Male,54,63,46,0,Average Customers,Use general promotions and product recommendations.
109,Male,68,63,43,0,Average Customers,Use general promotions and product recommendations.
110,Male,66,63,48,0,Average Customers,Use general promotions and product recommendations.
111,Male,65,63,52,0,Average Customers,Use general promotions and product recommendations.
112,Female,19,63,54,0,Average Customers,Use general promotions and product recommendations.
113,Female,38,64,42,0,Average Customers,Use general promotions and product recommendations.
114,Male,19,64,46,0,Average Customers,Use general promotions and product recommendations.
115,Female,18,65,48,0,Average Customers,Use general promotions and product recommendations.
116,Female,19,65,50,0,Average Customers,Use general promotions and product recommendations.
117,Female,63,65,43,0,Average Customers,Use general promotions and product recommendations.
118,Female,49,65,59,0,Average Customers,Use general promotions and product recommendations.
119,Female,51,67,43,0,Average Customers,Use general promotions and product recommendations.
120,Female,50,67,57,0,Average Customers,Use general promotions and product recommendations.
121,Male,27,67,56,0,Average Customers,Use general promotions and product recommendations.
122,Female,38,67,40,0,Average Customers,Use general promotions and product recommendations.
123,Female,40,69,58,0,Average Customers,Use general promotions and product recommendations.
124,Male,39,69,91,1,Premium Customers,"Offer premium products, loyalty rewards and exclusive deals."
125,Female,23,70,29,3,High-Income Low-Spenders,Use personalized offers to increase their spending.
126,Female,31,70,77,1,Premium Customers,"Offer premium products, loyalty rewards and exclusive deals."
127,Male,43,71,35,0,Average Customers,Use general promotions and product recommendations.
128,Male,40,71,95,1,Premium Customers,"Offer premium products, loyalty rewards and exclusive deals."
129,Male,59,71,11,3,High-Income Low-Spenders,Use personalized offers to increase their spending.
130,Male,38,71,75,1,Premium Customers,"Offer premium products, loyalty rewards and exclusive deals."
131,Male,47,71,9,3,High-Income Low-Spenders,Use personalized offers to increase their spending.
132,Male,39,71,75,1,Premium Customers,"Offer premium products, loyalty rewards and exclusive deals."
133,Female,25,72,34,0,Average Customers,Use general promotions and product recommendations.
134,Female,31,72,71,1,Premium Customers,"Offer premium products, loyalty rewards and exclusive deals."
135,Male,20,73,5,3,High-Income Low-Spenders,Use personalized offers to increase their spending.
136,Female,29,73,88,1,Premium Customers,"Offer premium products, loyalty rewards and exclusive deals."
137,Female,44,73,7,3,High-Income Low-Spenders,Use personalized offers to increase their spending.
138,Male,32,73,73,1,Premium Customers,"Offer premium products, loyalty rewards and exclusive deals."
139,Male,19,74,10,3,High-Income Low-Spenders,Use personalized offers to increase their spending.
140,Female,35,74,72,1,Premium Customers,"Offer premium products, loyalty rewards and exclusive deals."
141,Female,57,75,5,3,High-Income Low-Spenders,Use personalized offers to increase their spending.
142,Male,32,75,93,1,Premium Customers,"Offer premium products, loyalty rewards and exclusive deals."
143,Female,28,76,40,0,Average Customers,Use general promotions and product recommendations.
144,Female,32,76,87,1,Premium Customers,"Offer premium products, loyalty rewards and exclusive deals."
145,Male,25,77,12,3,High-Income Low-Spenders,Use personalized offers to increase their spending.
146,Male,28,77,97,1,Premium Customers,"Offer premium products, loyalty rewards and exclusive deals."
147,Male,48,77,36,3,High-Income Low-Spenders,Use personalized offers to increase their spending.
148,Female,32,77,74,1,Premium Customers,"Offer premium products, loyalty rewards and exclusive deals."
149,Female,34,78,22,3,High-Income Low-Spenders,Use personalized offers to increase their spending.
150,Male,34,78,90,1,Premium Customers,"Offer premium products, loyalty rewards and exclusive deals."
151,Male,43,78,17,3,High-Income Low-Spenders,Use personalized offers to increase their spending.
152,Male,39,78,88,1,Premium Customers,"Offer premium products, loyalty rewards and exclusive deals."
153,Female,44,78,20,3,High-Income Low-Spenders,Use personalized offers to increase their spending.
154,Female,38,78,76,1,Premium Customers,"Offer premium products, loyalty rewards and exclusive deals."
155,Female,47,78,16,3,High-Income Low-Spenders,Use personalized offers to increase their spending.
156,Female,27,78,89,1,Premium Customers,"Offer premium products, loyalty rewards and exclusive deals."
157,Male,37,78,1,3,High-Income Low-Spenders,Use personalized offers to increase their spending.
158,Female,30,78,78,1,Premium Customers,"Offer premium products, loyalty rewards and exclusive deals."
159,Male,34,78,1,3,High-Income Low-Spenders,Use personalized offers to increase their spending.
160,Female,30,78,73,1,Premium Customers,"Offer premium products, loyalty rewards and exclusive deals."
161,Female,56,79,35,3,High-Income Low-Spenders,Use personalized offers to increase their spending.
162,Female,29,79,83,1,Premium Customers,"Offer premium products, loyalty rewards and exclusive deals."
163,Male,19,81,5,3,High-Income Low-Spenders,Use personalized offers to increase their spending.
164,Female,31,81,93,1,Premium Customers,"Offer premium products, loyalty rewards and exclusive deals."
165,Male,50,85,26,3,High-Income Low-Spenders,Use personalized offers to increase their spending.
166,Female,36,85,75,1,Premium Customers,"Offer premium products, loyalty rewards and exclusive deals."
167,Male,42,86,20,3,High-Income Low-Spenders,Use personalized offers to increase their spending.
168,Female,33,86,95,1,Premium Customers,"Offer premium products, loyalty rewards and exclusive deals."
169,Female,36,87,27,3,High-Income Low-Spenders,Use personalized offers to increase their spending.
170,Male,32,87,63,1,Premium Customers,"Offer premium products, loyalty rewards and exclusive deals."
171,Male,40,87,13,3,High-Income Low-Spenders,Use personalized offers to increase their spending.
172,Male,28,87,75,1,Premium Customers,"Offer premium products, loyalty rewards and exclusive deals."
173,Male,36,87,10,3,High-Income Low-Spenders,Use personalized offers to increase their spending.
174,Male,36,87,92,1,Premium Customers,"Offer premium products, loyalty rewards and exclusive deals."
175,Female,52,88,13,3,High-Income Low-Spenders,Use personalized offers to increase their spending.
176,Female,30,88,86,1,Premium Customers,"Offer premium products, loyalty rewards and exclusive deals."
177,Male,58,88,15,3,High-Income Low-Spenders,Use personalized offers to increase their spending.
178,Male,27,88,69,1,Premium Customers,"Offer premium products, loyalty rewards and exclusive deals."
179,Male,59,93,14,3,High-Income Low-Spenders,Use personalized offers to increase their spending.
180,Male,35,93,90,1,Premium Customers,"Offer premium products, loyalty rewards and exclusive deals."
181,Female,37,97,32,3,High-Income Low-Spenders,Use personalized offers to increase their spending.
182,Female,32,97,86,1,Premium Customers,"Offer premium products, loyalty rewards and exclusive deals."
183,Male,46,98,15,3,High-Income Low-Spenders,Use personalized offers to increase their spending.
184,Female,29,98,88,1,Premium Customers,"Offer premium products, loyalty rewards and exclusive deals."
185,Female,41,99,39,3,High-Income Low-Spenders,Use personalized offers to increase their spending.
186,Male,30,99,97,1,Premium Customers,"Offer premium products, loyalty rewards and exclusive deals."
187,Female,54,101,24,3,High-Income Low-Spenders,Use personalized offers to increase their spending.
188,Male,28,101,68,1,Premium Customers,"Offer premium products, loyalty rewards and exclusive deals."
189,Female,41,103,17,3,High-Income Low-Spenders,Use personalized offers to increase their spending.
190,Female,36,103,85,1,Premium Customers,"Offer premium products, loyalty rewards and exclusive deals."
191,Female,34,103,23,3,High-Income Low-Spenders,Use personalized offers to increase their spending.
192,Female,32,103,69,1,Premium Customers,"Offer premium products, loyalty rewards and exclusive deals."
193,Male,33,113,8,3,High-Income Low-Spenders,Use personalized offers to increase their spending.
194,Female,38,113,91,1,Premium Customers,"Offer premium products, loyalty rewards and exclusive deals."
195,Female,47,120,16,3,High-Income Low-Spenders,Use personalized offers to increase their spending.
196,Female,35,120,79,1,Premium Customers,"Offer premium products, loyalty rewards and exclusive deals."
197,Female,45,126,28,3,High-Income Low-Spenders,Use personalized offers to increase their spending.
198,Male,32,126,74,1,Premium Customers,"Offer premium products, loyalty rewards and exclusive deals."
199,Male,32,137,18,3,High-Income Low-Spenders,Use personalized offers to increase their spending.
200,Male,30,137,83,1,Premium Customers,"Offer premium products, loyalty rewards and exclusive deals."
